Time,totalAssets,longTermDebt
2010-06-30,4955000000,2418000000
2010-09-30,4595000000,2185000000
2010-12-31,4964000000,2188000000
2011-03-31,5209000000,2192000000
2011-06-30,5224000000,2195000000
2011-09-30,5236000000,1571000000
2011-12-31,4954000000,2065000000
2012-03-31,4988000000,1529000000
2012-06-30,5041000000,1532000000
2012-09-30,4612000000,2035000000
2012-12-31,4000000000,2019000000
2013-03-31,3797000000,2023000000
2013-06-30,3897000000,2042000000
2013-09-30,4317000000,2044000000
2013-12-31,4337000000,1998000000
2014-03-31,4108000000,2078000000
2014-06-30,4246000000,2109000000
2014-09-30,4325000000,2106000000
2014-12-31,3767000000,2035000000
2015-03-31,3428000000,2033000000
2015-06-30,3381000000,2034000000
2015-09-30,3229000000,2030000000
2015-12-31,3084000000,2237000000
2016-03-31,2981000000,2006000000
2016-06-30,3316000000,2012000000
2016-09-30,3616000000,1632000000
2016-12-31,3321000000,1435000000
2017-03-31,3299000000,1408000000
2017-06-30,3370000000,1375000000
2017-09-30,3586000000,1356000000
2017-12-31,3552000000,1395000000
2018-03-31,3763000000,1165000000
2018-06-30,4103000000,1170000000
2018-09-30,4347000000,1167000000
2018-12-31,4556000000,1250000000
2019-03-31,4931000000,1024000000
2019-06-30,5102000000,1031000000
2019-09-30,5253000000,872000000
2019-12-31,6028000000,486000000
2020-03-31,5864000000,488000000
2020-06-30,6583000000,490000000
2020-09-30,7023000000,398000000
2020-12-31,8962000000,330000000
2021-03-31,10047000000,314000000
2021-06-30,10691000000,313000000
2021-09-30,11153000000,1000000
2021-12-31,12419000000,1000000
2022-03-31,66915000000,1475000000
2022-06-30,67502000000,2465000000
2022-09-30,67811000000,2466000000
2022-12-31,67580000000,2467000000
2023-03-31,67634000000,2467000000
2023-06-30,67967000000,1714000000
2023-09-30,67626000000,1715000000
