Time,operatingCashflow
2009-06-30,-144000000
2009-09-30,-142000000
2009-12-31,1150000000
2010-03-31,23000000
2010-06-30,-98000000
2010-09-30,-124000000
2010-12-31,-213000000
2011-03-31,-168000000
2011-06-30,174000000
2011-09-30,189000000
2011-12-31,187000000
2012-03-31,107000000
2012-06-30,81000000
2012-09-30,-240000000
2012-12-31,-286000000
2013-03-31,-155000000
2013-06-30,-35000000
2013-09-30,21000000
2013-12-31,21000000
2014-03-31,-204000000
2014-06-30,-28000000
2014-09-30,18000000
2014-12-31,116000000
2015-03-31,-172000000
2015-06-30,-57000000
2015-09-30,-56000000
2015-12-31,59000000
2016-03-31,-42000000
2016-06-30,-85000000
2016-09-30,29000000
2016-12-31,179000000
2017-03-31,-299000000
2017-06-30,-82000000
2017-09-30,69000000
2017-12-31,324000000
2018-03-31,-107000000
2018-06-30,-55000000
2018-09-30,76000000
2018-12-31,120000000
2019-03-31,-213000000
2019-06-30,30000000
2019-09-30,234000000
2019-12-31,442000000
2020-03-31,-65000000
2020-06-30,243000000
2020-09-30,339000000
2020-12-31,554000000
2021-03-31,898000000
2021-06-30,952000000
2021-09-30,849000000
2021-12-31,822000000
2022-03-31,995000000
2022-06-30,1038000000
2022-09-30,965000000
2022-12-31,567000000
2023-03-31,486000000
2023-06-30,379000000
2023-09-30,421000000
