Time,operatingCashflow
2009-06-30,468000000
2009-09-30,799000000
2009-12-31,2611000000
2010-03-31,-1098000000
2010-06-30,250000000
2010-09-30,855000000
2010-12-31,3488000000
2011-03-31,-1586000000
2011-06-30,423000000
2011-09-30,797000000
2011-12-31,4269000000
2012-03-31,-2438000000
2012-06-30,594000000
2012-09-30,943000000
2012-12-31,5081000000
2013-03-31,-2372000000
2013-06-30,880000000
2013-09-30,1388000000
2013-12-31,5578000000
2014-03-31,-2502000000
2014-06-30,862000000
2014-09-30,1766000000
2014-12-31,6715000000
2015-03-31,-1499000000
2015-06-30,1997000000
2015-09-30,2610000000
2015-12-31,8931000000
2016-03-31,-1953000000
2016-06-30,3578000000
2016-09-30,4659000000
2016-12-31,10919000000
2017-03-31,-1619000000
2017-06-30,3850000000
2017-09-30,3777000000
2017-12-31,12358000000
2018-03-31,-1791000000
2018-06-30,7449000000
2018-09-30,8588000000
2018-12-31,16477000000
2019-03-31,1846000000
2019-06-30,9118000000
2019-09-30,7892000000
2019-12-31,19659000000
2020-03-31,3064000000
2020-06-30,20606000000
2020-09-30,11964000000
2020-12-31,30431000000
2021-03-31,4213000000
2021-06-30,12715000000
2021-09-30,7313000000
2021-12-31,22086000000
2022-03-31,-2790000000
2022-06-30,8965000000
2022-09-30,11404000000
2022-12-31,29173000000
2023-03-31,4788000000
2023-06-30,16476000000
2023-09-30,21217000000
