Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-06-30,967000000,4063000000,3715000000,217000000,750000000,None,225000000
2008-09-30,999000000,4264000000,3922000000,154000000,845000000,None,194000000
2008-12-31,522000000,6704000000,6182000000,273000000,1075000000,None,316000000
2009-03-31,451000000,4889000000,4438000000,244000000,4645000000,None,258000000
2009-06-30,1133000000,4644000000,3808000000,159000000,4492000000,7000000,188000000
2009-09-30,1273000000,5443000000,4504000000,251000000,5198000000,7000000,266000000
2009-12-31,1977000000,9519000000,8029000000,476000000,-9934000000,8000000,477000000
2010-03-31,1206000000,7124000000,5918000000,394000000,6737000000,7000000,406000000
2010-06-30,1147000000,6557000000,5410000000,270000000,6296000000,9000000,304000000
2010-09-30,1257000000,7551000000,6294000000,268000000,7292000000,11000000,321000000
2010-12-31,12948000000,12948000000,10866000000,474000000,-18358000000,11000000,511000000
2011-03-31,1575000000,9845000000,8270000000,322000000,707000000,12000000,185000000
2011-06-30,1622000000,9898000000,8276000000,201000000,807000000,15000000,131000000
2011-09-30,1711000000,10859000000,9148000000,79000000,877000000,17000000,-174000000
2011-12-31,17431000000,17431000000,14737000000,260000000,968000000,20000000,311000000
2012-03-31,2000000000,13164000000,11164000000,192000000,1204000000,21000000,194000000
2012-06-30,2071000000,12813000000,10742000000,107000000,1307000000,21000000,137000000
2012-09-30,2141000000,13784000000,11643000000,-28000000,1389000000,22000000,-169000000
2012-12-31,17431000000,17431000000,17476000000,405000000,1404000000,27000000,318000000
2013-03-31,2658000000,16037000000,13379000000,181000000,1642000000,33000000,133000000
2013-06-30,2745000000,15671000000,12926000000,79000000,1782000000,33000000,13000000
2013-09-30,2884000000,17056000000,14172000000,-25000000,1854000000,36000000,7000000
2013-12-31,25587000000,25587000000,20486000000,510000000,1932000000,39000000,99000000
2014-03-31,3437000000,19699000000,16262000000,146000000,2284000000,42000000,223000000
2014-06-30,3467000000,19295000000,15828000000,-15000000,2457000000,45000000,13000000
2014-09-30,3257000000,20530000000,17273000000,-544000000,2677000000,49000000,-593000000
2014-12-31,29328000000,29328000000,22988000000,591000000,2580000000,74000000,493000000
2015-03-31,4271000000,22602000000,18331000000,255000000,2980000000,115000000,129000000
2015-06-30,4790000000,23071000000,18281000000,464000000,3169000000,114000000,472000000
2015-09-30,5161000000,25242000000,20081000000,406000000,3369000000,116000000,356000000
2015-12-31,35747000000,35747000000,26787000000,1108000000,2770000000,115000000,1050000000
2016-03-31,6385000000,29011000000,22626000000,1071000000,3805000000,117000000,1105000000
2016-06-30,7073000000,30288000000,23215000000,1285000000,4090000000,116000000,1280000000
2016-09-30,6875000000,32596000000,25721000000,575000000,4493000000,118000000,599000000
2016-12-31,43741000000,43741000000,32253000000,1255000000,3779000000,133000000,1296000000
2017-03-31,7985000000,35575000000,27590000000,1005000000,5194000000,139000000,1092000000
2017-06-30,11258000000,37812000000,26554000000,628000000,3169000000,143000000,807000000
2017-09-30,12528000000,43516000000,30988000000,347000000,3484000000,228000000,542000000
2017-12-31,60453000000,60453000000,43345000000,2127000000,5535000000,338000000,2210000000
2018-03-31,16211000000,50712000000,34501000000,1927000000,3829000000,330000000,2246000000
2018-06-30,17899000000,52543000000,34644000000,2983000000,4092000000,343000000,2951000000
2018-09-30,18871000000,56218000000,37347000000,3724000000,4412000000,358000000,3749000000
2018-12-31,72383000000,72383000000,59490000000,3786000000,15667000000,387000000,3741000000
2019-03-31,20582000000,59339000000,38757000000,4420000000,4837000000,366000000,4763000000
2019-06-30,18721000000,63021000000,44300000000,3084000000,8049000000,383000000,3265000000
2019-09-30,19574000000,69585000000,50011000000,3157000000,8764000000,396000000,3024000000
2019-12-31,87437000000,87437000000,75900000000,3879000000,22988000000,455000000,4509000000
2020-03-31,22619000000,75050000000,52431000000,3989000000,8174000000,402000000,3681000000
2020-06-30,27895000000,88509000000,60614000000,5843000000,7954000000,403000000,6630000000
2020-09-30,29309000000,95717000000,66408000000,6194000000,9302000000,428000000,7328000000
2020-12-31,125555000000,125555000000,102441000000,6873000000,24557000000,414000000,8202000000
2021-03-31,35035000000,108088000000,73053000000,8865000000,10650000000,399000000,10662000000
2021-06-30,36408000000,112755000000,76347000000,7702000000,12171000000,435000000,9081000000
2021-09-30,34622000000,110212000000,75590000000,4852000000,12660000000,493000000,4804000000
2021-12-31,20863000000,136903000000,116040000000,3460000000,34205000000,482000000,15417000000
2022-03-31,37013000000,115986000000,78973000000,3669000000,12474000000,472000000,-4794000000
2022-06-30,39590000000,120533000000,80943000000,3317000000,14519000000,584000000,-2081000000
2022-09-30,40542000000,126381000000,85839000000,2525000000,15571000000,617000000,3558000000
2022-12-31,-1360000000,148376000000,1360000000,2737000000,1360000000,694000000,-255000000
2023-03-31,43403000000,126605000000,83202000000,4774000000,15411000000,823000000,4943000000
2023-06-30,48693000000,133552000000,84859000000,7681000000,15486000000,840000000,8394000000
2023-09-30,52610000000,142183000000,89573000000,11188000000,14551000000,806000000,12991000000
