Time,totalAssets,longTermDebt
2009-12-31,9456742000,None
2010-06-30,10443440000,None
2010-12-31,12705140000,None
2011-06-30,13335807000,None
2011-12-31,15295468000,None
2012-03-31,7496626000,None
2013-03-31,63786000000,4452406000
2013-06-30,None,None
2013-09-30,None,None
2013-12-31,107058000000,None
2014-03-31,111549000000,4940319000
2014-06-30,161193000000,7903959000
2014-09-30,232342000000,8071359000
2014-12-31,269993000000,8072720000
2015-03-31,255434000000,8163091000
2015-06-30,282060000000,8139515000
2015-09-30,327758000000,8295519000
2015-12-31,364671000000,8269167000
2016-03-31,364450000000,8292029000
2016-06-30,409970000000,11211423000
2016-09-30,456402000000,12382846000
2016-12-31,490866000000,11111334000
2017-03-31,506812000000,11162686000
2017-06-30,543714000000,11337897000
2017-09-30,578824000000,11328664000
2017-12-31,711432000000,18886925000
2018-03-31,717124000000,19031128094.90
2018-06-30,796662000000,18656268746.25
2018-09-30,824767000000,18808542852.57
2018-12-31,917943000000,2393405102.76
2019-03-31,965076000000,111834000000
2019-06-30,1018854000000,116370000000
2019-09-30,1159577000000,121522000000
2019-12-31,1319495000000,118172000000
2020-03-31,1312985000000,120276000000
2020-06-30,1312985000000,120894000000
2020-09-30,1433626000000,116885000000
2020-12-31,1635266000000,102652000000
2021-03-31,1690218000000,135716000000
2021-06-30,1690218000000,133599000000
2021-09-30,1725674000000,132907000000
2021-12-31,1760567000000,131731000000
2022-03-31,1695553000000,132503000000
2022-06-30,1695553000000,138462000000
2022-09-30,1712544000000,149838000000
2022-12-31,1772124000000,148260000000
2023-03-31,1753044000000,149088000000
2023-06-30,1776804000000,157307000000
2023-09-30,1811590000000,158557000000
