Time,totalAssets,longTermDebt
2009-06-30,57712000000,8700000000
2009-09-30,58667000000,10065000000
2009-12-31,62053000000,12217000000
2010-03-31,62970000000,11464000000
2010-06-30,63755000000,11439000000
2010-09-30,65222000000,11466000000
2010-12-31,68565000000,11473000000
2011-03-31,68760000000,10723000000
2011-06-30,72119000000,10324000000
2011-09-30,74163000000,10777000000
2011-12-31,79986000000,9175000000
2012-03-31,80205000000,8817000000
2012-06-30,81595000000,8735000000
2012-09-30,83654000000,9014000000
2012-12-31,88896000000,10231000000
2013-03-31,90447000000,8254000000
2013-06-30,92091000000,8695000000
2013-09-30,94633000000,9448000000
2013-12-31,92663000000,9483000000
2014-03-31,91575000000,8796000000
2014-06-30,92737000000,8727000000
2014-09-30,92653000000,8724000000
2014-12-31,92921000000,8909000000
2015-03-31,97775000000,8883000000
2015-06-30,98102000000,8862000000
2015-09-30,98998000000,8861000000
2015-12-31,94408000000,9814000000
2016-03-31,91547000000,9820000000
2016-06-30,89609000000,10874000000
2016-09-30,88950000000,10321000000
2016-12-31,89997000000,9815000000
2017-03-31,89673000000,10670000000
2017-06-30,90036000000,10641000000
2017-09-30,91007000000,10635000000
2017-12-31,112362000000,10380000000
2018-03-31,113549000000,11719000000
2018-06-30,113195000000,11381000000
2018-09-30,114659000000,11131000000
2018-12-31,117359000000,11796000000
2019-03-31,120209000000,12589000000
2019-06-30,126261000000,15998000000
2019-09-30,132598000000,21432000000
2019-12-31,133625000000,20964000000
2020-03-31,143075000000,34010000000
2020-06-30,162872000000,58788000000
2020-09-30,161261000000,58840000000
2020-12-31,152136000000,63380000000
2021-03-31,150035000000,63384000000
2021-06-30,148935000000,63377000000
2021-09-30,146846000000,62238000000
2021-12-31,138552000000,57921000000
2022-03-31,135801000000,57559000000
2022-06-30,135479000000,57009000000
2022-09-30,137558000000,57021000000
2022-12-31,137100000000,56794000000
2023-03-31,136347000000,55175000000
2023-06-30,134774000000,52037000000
2023-09-30,134281000000,52031000000
