Time,operatingCashflow
2018-03-31,4526000000
2018-06-30,3679000000
2018-09-30,3853000000
2018-12-31,2099000000
2019-03-31,3880000000
2019-06-30,3421000000
2019-09-30,1205000000
2019-12-31,3439000000
2020-03-31,1710000000
2020-06-30,-3178000000
2020-09-30,9163000000
2020-12-31,257000000
2021-03-31,2519000000
2021-06-30,2547000000
2021-09-30,5806000000
2021-12-31,-810000000
2022-03-31,2138000000
2022-06-30,3065000000
2022-09-30,5337000000
2022-12-31,-1826000000
2023-03-31,3236000000
2023-06-30,1482000000
2023-09-30,12927000000
