Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2017-12-31,6614000000,15351000000,8737000000,3986000000,2821000000,None,3986000000
2018-03-31,7015000000,14548000000,7533000000,4237000000,2978000000,None,3922000000
2018-06-30,6880000000,15229000000,8348000000,4189000000,2956000000,None,3886000000
2018-09-30,3083000000,14306000000,11224000000,3277000000,3116000000,None,3294000000
2018-12-31,6302000000,15303000000,9001000000,3655000000,2884000000,None,3596000000
2019-03-31,6546000000,14924000000,8376000000,3815000000,3155000000,None,7297000000
2019-06-30,15924000000,20262000000,4321000000,3952000000,16419000000,472000000,2625000000
2019-09-30,19100000000,19118000000,4527000000,3425000000,15828000000,924000000,1808000000
2019-12-31,16306000000,20877000000,4552000000,3996000000,16956000000,362000000,2927000000
2020-03-31,13740000000,18025000000,4269000000,2407000000,4459000000,365000000,1348000000
2020-06-30,3585000000,11779000000,8194000000,1099000000,8376000000,456000000,-4596000000
2020-09-30,11387000000,14707000000,3320000000,606000000,3525000000,464000000,-197000000
2020-12-31,12569000000,16249000000,3680000000,1332000000,3879000000,404000000,437000000
2021-03-31,11445000000,15613000000,4168000000,2465000000,4333000000,415000000,1424000000
2021-06-30,13183000000,17022000000,3839000000,2382000000,4019000000,404000000,1189000000
2021-09-30,13964000000,18534000000,4570000000,1587000000,4953000000,323000000,-2576000000
2021-12-31,17453000000,21819000000,4366000000,3258000000,4610000000,361000000,1953000000
2022-03-31,14708000000,19249000000,4541000000,3699000000,4829000000,374000000,1349000000
2022-06-30,16790000000,21504000000,4714000000,3567000000,5052000000,380000000,2406000000
2022-09-30,15189000000,20150000000,4961000000,1597000000,5312000000,-2664000000,-2380000000
2022-12-31,19123000000,23512000000,4389000000,3043000000,4755000000,465000000,2156000000
2023-03-31,2275000000,21815000000,19540000000,3285000000,4924000000,None,2410000000
2023-06-30,15461000000,22330000000,6869000000,3559000000,7251000000,503000000,62000000
2023-09-30,16069000000,21241000000,5172000000,2976000000,5548000000,-3445000000,-2868000000
