Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2014-09-30,9828000000,16523000000,6695000000,3724000000,6104000000,None,3697000000
2014-12-31,11182000000,18103000000,6921000000,4399000000,6783000000,None,5519000000
2015-03-31,10902000000,17258000000,6356000000,4447000000,6455000000,None,4630000000
2015-06-30,11144000000,17727000000,6583000000,4825000000,6319000000,None,4982000000
2015-09-30,11638000000,18675000000,7037000000,4708000000,6930000000,26000000,4917000000
2015-12-31,13141000000,21329000000,8188000000,5380000000,7761000000,26000000,5226000000
2016-03-31,12609000000,20257000000,7648000000,5342000000,7267000000,30000000,5159000000
2016-06-30,13370000000,21500000000,8130000000,5968000000,7402000000,32000000,6151000000
2016-09-30,13752000000,22451000000,8699000000,5767000000,7985000000,29000000,6074000000
2016-12-31,15403000000,26064000000,10661000000,6639000000,8764000000,33000000,6890000000
2017-03-31,14955000000,24750000000,9795000000,6568000000,8387000000,25000000,6844000000
2017-06-30,15637000000,26010000000,10373000000,4132000000,8769000000,21000000,4398000000
2017-09-30,16624000000,27772000000,11148000000,7782000000,8842000000,27000000,8006000000
2017-12-31,18056000000,32323000000,14267000000,7696000000,10392000000,36000000,8054000000
2018-03-31,17679000000,31146000000,13467000000,7633000000,10678000000,30000000,10573000000
2018-06-30,18774000000,32657000000,13883000000,3045000000,10896000000,27000000,4242000000
2018-09-30,19459000000,33740000000,14281000000,8625000000,11149000000,28000000,10111000000
2018-12-31,21358000000,39276000000,17918000000,8221000000,13155000000,29000000,10101000000
2019-03-31,20327000000,36339000000,16012000000,6608000000,12022000000,35000000,8181000000
2019-06-30,21749000000,39045000000,17296000000,9180000000,12468000000,25000000,12172000000
2019-09-30,22935000000,40503000000,17568000000,9177000000,13754000000,23000000,8651000000
2019-12-31,24855000000,45569000000,21020000000,9266000000,15789000000,17000000,10721000000
2020-03-31,22177000000,41159000000,18982000000,7977000000,14200000000,21000000,7778000000
2020-06-30,19744000000,38297000000,18553000000,6383000000,13361000000,13000000,8290000000
2020-09-30,25013000000,46130000000,21117000000,11213000000,13843000000,48000000,13407000000
2020-12-31,30038000000,56118000000,26080000000,15651000000,15167000000,53000000,18742000000
2021-03-31,31211000000,55314000000,24103000000,16437000000,14774000000,76000000,21359000000
2021-06-30,35653000000,61880000000,26227000000,19361000000,16292000000,76000000,22061000000
2021-09-30,37307000000,64928000000,27621000000,21031000000,16466000000,77000000,23141000000
2021-12-31,42152000000,75140000000,32988000000,21885000000,20452000000,117000000,24519000000
2022-03-31,38460000000,68059000000,29599000000,20094000000,18318000000,83000000,19017000000
2022-06-30,39639000000,69743000000,30104000000,19453000000,20128000000,83000000,19097000000
2022-09-30,38262000000,69420000000,31158000000,17135000000,20799000000,101000000,16334000000
2022-12-31,38949000000,74291000000,35342000000,18160000000,22546000000,90000000,17237000000
2023-03-31,39074000000,69686000000,30612000000,17415000000,24318000000,80000000,18285000000
2023-06-30,42467000000,74383000000,31916000000,21838000000,20920000000,43000000,21946000000
2023-09-30,43078000000,76307000000,33229000000,21343000000,22223000000,116000000,21313000000
