Time,totalAssets,longTermDebt
2009-06-30,6983933000,20564000
2009-09-30,6939348000,21690000
2009-12-31,7470000000,20000000
2010-03-31,7286000000,21000000
2010-06-30,7432000000,19000000
2010-09-30,8166000000,21000000
2010-12-31,8837000000,20000000
2011-03-31,8502000000,21000000
2011-06-30,9025000000,None
2011-09-30,9674000000,None
2011-12-31,10693000000,46000000
2012-03-31,11131000000,None
2012-06-30,11240000000,None
2012-09-30,12120000000,None
2012-12-31,12462000000,48000000
2013-03-31,11809000000,None
2013-06-30,12021000000,None
2013-09-30,13730000000,None
2013-12-31,14242000000,1000000
2014-03-31,14802000000,1494000000
2014-06-30,14375000000,1494000000
2014-09-30,14659000000,1494000000
2014-12-31,15329000000,1494000000
2015-03-31,14633000000,1495000000
2015-06-30,15272000000,1495000000
2015-09-30,14634000000,1495000000
2015-12-31,16250000000,3287000000
2016-03-31,15905000000,3333000000
2016-06-30,16282000000,3306000000
2016-09-30,17323000000,3326000000
2016-12-31,18675000000,10419000000
2017-03-31,18570000000,5216000000
2017-06-30,19839000000,5326000000
2017-09-30,20914000000,5393000000
2017-12-31,21329000000,5400000000
2018-03-31,22944000000,6469000000
2018-06-30,22471000000,6357000000
2018-09-30,23340000000,6900000000
2018-12-31,24860000000,6800000000
2019-03-31,23520000000,6800000000
2019-06-30,24731000000,7806000000
2019-09-30,25981000000,7735000000
2019-12-31,29236000000,17127000000
2020-03-31,30648000000,12466000000
2020-06-30,32127000000,12498000000
2020-09-30,31594000000,12574000000
2020-12-31,33584000000,25447000000
2021-03-31,34800000000,13870000000
2021-06-30,34911000000,13899000000
2021-09-30,35410000000,13861000000
2021-12-31,37669000000,27922000000
2022-03-31,37163000000,14699000000
2022-06-30,36231000000,14554000000
2022-09-30,37612000000,13577000000
2022-12-31,38724000000,28367000000
2023-03-31,38936000000,15292000000
2023-06-30,39004000000,14284000000
2023-09-30,39674000000,14229000000
