Time,totalAssets,longTermDebt
2009-12-03,11726000000,2143000000
2010-12-02,14617000000,1816000000
2011-03-03,14398000000,1740000000
2011-06-02,14570000000,1572000000
2011-09-01,14752000000,2001000000
2011-12-01,14211000000,2119000000
2012-03-01,14139000000,2315000000
2012-05-31,14316000000,3198000000
2012-08-30,14328000000,3262000000
2012-11-29,14067000000,3435000000
2013-02-28,13912000000,3651000000
2013-05-30,14055000000,3624000000
2013-08-29,19118000000,4452000000
2013-11-28,19794000000,4260000000
2014-02-27,20615000000,91000000
2014-05-29,20495000000,88000000
2014-08-28,22416000000,57000000
2014-12-04,22542000000,53000000
2015-03-05,23818000000,51000000
2015-06-04,25136000000,48000000
2015-09-03,24143000000,49000000
2015-12-03,24388000000,42000000
2016-03-03,24819000000,39000000
2016-06-02,27001000000,8919000000
2016-09-01,27540000000,9154000000
2016-12-01,27836000000,8490000000
2017-03-02,32355000000,11308000000
2017-06-01,33267000000,10485000000
2017-08-31,35336000000,9872000000
2017-11-30,37191000000,7644000000
2018-03-01,41263000000,7802000000
2018-05-31,41845000000,5285000000
2018-08-30,43376000000,3242000000
2018-11-29,44595000000,3225000000
2019-02-28,47487000000,3151000000
2019-05-30,46288000000,3564000000
2019-08-29,48887000000,5755000000
2019-11-28,49649000000,4844000000
2020-02-27,49648000000,4845000000
2020-05-28,52005000000,5962000000
2020-09-03,53678000000,6157000000
2020-12-03,53691000000,6356000000
2021-03-04,54135000000,6298000000
2021-06-03,55943000000,6418000000
2021-09-02,58849000000,5968000000
2021-12-02,61246000000,6096000000
2022-03-03,63696000000,6081000000
2022-06-02,65296000000,6034000000
2022-09-01,66283000000,6020000000
2022-12-01,67874000000,9351000000
2023-03-02,66520000000,11203000000
2023-06-01,65680000000,12074000000
2023-08-31,64254000000,12049000000
2023-11-30,63776000000,12024000000
