Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-06-30,107527000,337614000,230087000,34201000,73326000,None,36605000
2008-09-30,116773000,341269000,224496000,34074000,82699000,None,35610000
2008-12-31,126749000,359595000,232846000,37921000,88828000,None,38773000
2009-03-31,134830000,394098000,259268000,36471000,98359000,None,38081000
2009-06-30,139266000,408509000,269243000,52782000,86484000,674000,53648000
2009-09-30,147846000,423120000,275274000,49337000,98509000,674000,51145000
2009-12-31,169056000,444542000,275486000,53349000,115707000,4457000,55793000
2010-03-31,186503000,493665000,307162000,58345000,128158000,4959000,59317000
2010-06-30,204885000,519819000,314934000,77342000,127543000,4893000,78263000
2010-09-30,208750000,553219000,344469000,69501000,139249000,4945000,70354000
2010-12-31,205132000,595922000,390790000,78453000,126679000,4832000,79391000
2011-03-31,280402000,718553000,438151000,102240000,178162000,4865000,103105000
2011-06-30,298632000,788610000,489978000,115114000,183518000,5303000,116127000
2011-09-30,285222000,821839000,536617000,96842000,188380000,4915000,98538000
2011-12-31,300420000,875575000,575155000,61872000,238548000,4942000,61777000
2012-03-31,245858000,869791000,623933000,-1935000,247793000,4974000,-2051000
2012-06-30,245735000,889163000,643428000,16154000,229581000,5006000,15661000
2012-09-30,242451000,905089000,662638000,16135000,226316000,4990000,16936000
2012-12-31,249372000,945239000,722059000,19638000,1121084000,5016000,19920000
2013-03-31,287009000,1023961000,736952000,31822000,445297000,31869000,7670000
2013-06-30,308698000,1069372000,760674000,57117000,403228000,7528000,54177000
2013-09-30,307099000,1105999000,798900000,57120000,407047000,7436000,56927000
2013-12-31,354553000,1175230000,820677000,82288000,870679000,7438000,81442000
2014-03-31,400903000,1270089000,869186000,97595000,479570000,10052000,98996000
2014-06-30,425559000,1340407000,914848000,129600000,471155000,13328000,130700000
2014-09-30,455038000,1409432000,954394000,110407000,543608000,13486000,111023000
2014-12-31,470396000,1484728000,1014332000,65046000,1140129000,13353000,58869000
2015-03-31,526728000,1573129000,1046401000,97456000,663867000,26737000,65163000
2015-06-30,522942000,1644694000,1121752000,74835000,699074000,35217000,75707000
2015-09-30,564397000,1738355000,1173958000,73641000,773410000,35333000,77571000
2015-12-31,573968000,1823333000,1249365000,59894000,1518275000,35429000,56160000
2016-03-31,588196000,1957736000,1418581000,49453000,869476000,35537000,75416000
2016-06-30,632106000,2105204000,1525397000,70370000,907443000,35455000,86687000
2016-09-30,757344000,2290188000,1593768000,106036000,1020573000,35536000,114663000
2016-12-31,823122000,2477541000,1719716000,153934000,397979000,43586000,133855000
2017-03-31,895904000,2636635000,1740731000,256942000,1174068000,46742000,270534000
2017-06-30,793768000,2785464000,1991696000,127807000,1236375000,55482000,69444000
2017-09-30,898620000,2984859000,2086239000,208627000,1254014000,60688000,176925000
2017-12-31,1071421000,3285755000,2214334000,245303000,578986000,75292000,339909000
2018-03-31,1400277000,3700856000,2300579000,446578000,1637184000,81219000,380835000
2018-06-30,1504839000,3907270000,2402431000,462213000,1783600000,101605000,530241000
2018-09-30,1468246000,3999374000,2531128000,480668000,1777451000,108862000,487672000
2018-12-31,1453441000,4186841000,2733400000,215767000,2671636000,128807000,248203000
2019-03-31,1650378000,4520992000,2870614000,459084000,1766010000,135529000,535188000
2019-06-30,1917459000,4923116000,3005657000,706419000,1818930000,152033000,652949000
2019-09-30,2146986000,5244905000,3097919000,980239000,1779697000,160660000,1172983000
2019-12-31,2001411000,5467434000,3466023000,458512000,1754194000,177801000,327134000
2020-03-31,2167990000,5767691000,3599701000,958256000,1209734000,184083000,979953000
2020-06-30,2504579000,6148286000,3643707000,1357928000,1146651000,189151000,1224753000
2020-09-30,2567886000,6435637000,3867751000,1314863000,1253023000,197079000,1058539000
2020-12-31,2479282000,6644442000,4165160000,954242000,3126440000,197186000,703603000
2021-03-31,3294771000,7163282000,3868511000,1959856000,1334915000,194440000,2228942000
2021-06-30,3323769000,7341777000,4018008000,1847630000,1476139000,191322000,1785111000
2021-09-30,3276878000,7483467000,4206589000,1755253000,1521625000,190429000,1851388000
2021-12-31,2469743000,7709318000,5239575000,631770000,1233088000,189429000,740282000
2022-03-31,3583062000,7867767000,4284705000,1971626000,1611436000,187579000,2167271000
2022-06-30,3279386000,7970141000,4690755000,1578283000,1701103000,175455000,1798509000
2022-09-30,3136924000,7925589000,4788665000,1533018000,1603906000,172575000,1794422000
2022-12-31,2447893000,7852053000,5404160000,549904000,3483989000,170603000,209939000
2023-03-31,3357878000,8161503000,4803625000,1714317000,1643561000,174239000,1643113000
2023-06-30,3513831000,8187301000,4673470000,1827183000,1686648000,174812000,1854144000
2023-09-30,3610880000,8541668000,4930788000,1916394000,1694486000,175563000,2084612000
