Time,totalAssets,longTermDebt
2009-07-26,3298409000,25060000
2009-10-25,3463574000,24760000
2010-01-31,3585918000,24450000
2010-05-02,3803030000,24098000
2010-08-01,3731268000,23734000
2010-10-31,3915579000,23359000
2011-01-30,4495246000,23389000
2011-05-01,4736744000,22957000
2011-07-31,4864424000,22493000
2011-10-30,5089043000,21949000
2012-01-29,5552928000,21439000
2012-04-29,5708167000,20830000
2012-07-29,5891881000,20237000
2012-10-28,6075144000,19627000
2013-01-27,6412245000,0
2013-04-28,6279527000,18333000
2013-07-28,5569592000,17685000
2013-10-27,5711373000,17015000
2014-01-26,7250894000,1356375000
2014-04-27,6864663000,1363276000
2014-07-27,6933719000,1370249000
2014-10-26,6885869000,1377259000
2015-01-25,7201000000,1384000000
2015-04-26,7291000000,1391000000
2015-07-26,6979000000,1399000000
2015-10-25,7174000000,1406000000
2016-01-31,7370000000,0
2016-05-01,7108000000,9000000
2016-07-31,7461000000,1356000000
2016-10-30,9612000000,1982000000
2017-01-29,9841000000,1983000000
2017-04-30,9410000000,1984000000
2017-07-30,9402000000,1984000000
2017-10-29,9830000000,1985000000
2018-01-28,11241000000,1985000000
2018-04-29,11460000000,1986000000
2018-07-29,12882000000,1987000000
2018-10-28,13657000000,1987000000
2019-01-27,13292000000,1988000000
2019-04-28,14021000000,1988000000
2019-07-28,14775000000,1989000000
2019-10-27,15810000000,1990000000
2020-01-26,17315000000,1991000000
2020-04-26,23254000000,6959000000
2020-07-26,25180000000,6960000000
2020-10-25,26881000000,6961000000
2021-01-31,28791000000,6963000000
2021-05-02,30796000000,6963000000
2021-08-01,38650000000,11943000000
2021-10-31,40632000000,10944000000
2022-01-30,44187000000,10946000000
2022-05-01,45212000000,10947000000
2022-07-31,43476000000,10949000000
2022-10-30,40488000000,10950000000
2023-01-29,41182000000,10953000000
2023-04-30,44460000000,10954000000
2023-07-30,49555000000,9705000000
2023-10-29,54148000000,9706000000
