Time,Open,High,Low,Close,Volume,Percentage Change
2021-11-24,165.0880,165.5000,162.5800,163.7400,3309539,0.0000
2021-11-26,162.7100,163.6600,160.8900,161.1400,3402882,-0.0159
2021-11-29,162.6700,164.5800,161.1400,164.1400,5305787,0.0186
2021-11-30,163.8300,164.0000,158.3900,159.7800,7610010,-0.0266
2021-12-01,162.4700,163.2500,160.0500,160.1600,5385896,0.0024
2021-12-02,160.1324,161.6900,159.8300,160.6200,4619832,0.0029
2021-12-03,161.4700,164.8800,161.3400,164.7100,6465861,0.0255
2021-12-06,166.0500,167.2900,165.7900,166.4200,5403075,0.0104
2021-12-07,166.4200,166.9600,165.6600,166.2300,5460142,-0.0011
2021-12-08,166.1400,166.6900,164.0300,166.5200,3891904,0.0017
2021-12-09,165.9200,166.8800,164.8500,166.3100,3644496,-0.0013
2021-12-10,167.5400,169.1200,166.9000,168.9700,5025801,0.0160
2021-12-13,168.9300,171.2550,168.0500,169.8100,5411817,0.0050
2021-12-14,169.3500,170.3900,168.3000,169.3900,4984951,-0.0025
2021-12-15,169.7700,171.7800,169.4600,171.5700,5507820,0.0129
2021-12-16,171.5700,173.5600,171.0200,171.8200,6909923,0.0015
2021-12-17,171.1100,172.3800,168.0500,168.3000,10181243,-0.0205
2021-12-20,167.1583,169.5000,166.7500,169.4200,5263606,0.0067
2021-12-21,169.2300,169.6025,167.7750,168.9200,3401433,-0.0030
2021-12-22,168.9600,169.9900,168.2700,169.9700,4362937,0.0062
2021-12-23,169.9781,170.6300,169.2500,169.7800,3241793,-0.0011
2021-12-27,169.9850,171.5600,169.7650,171.4700,2868961,0.0100
2021-12-28,171.4600,172.7900,171.2000,172.3600,2333095,0.0052
2021-12-29,172.7900,173.4600,171.9300,172.9700,2299691,0.0035
2021-12-30,173.5400,173.6200,172.2300,172.6700,1988984,-0.0017
2021-12-31,172.4600,174.0150,172.1100,173.7100,2884803,0.0060
2022-01-03,172.2000,173.1900,170.5650,172.9800,5489586,-0.0042
2022-01-04,172.6600,174.4500,172.2000,173.2300,4717843,0.0014
2022-01-05,173.3550,175.3600,173.2300,173.8200,6564551,0.0034
2022-01-06,173.9100,175.6000,173.2275,173.8600,4288788,0.0002
2022-01-07,174.0900,174.6900,172.6100,174.0800,4916044,0.0013
2022-01-10,174.4362,175.8400,173.6200,174.1700,5056068,0.0005
2022-01-11,173.6841,174.2300,171.6200,174.0900,6443762,-0.0005
2022-01-12,173.9000,174.3300,172.9500,173.9000,5267988,-0.0011
2022-01-13,173.7100,174.6861,173.2400,174.1800,4310283,0.0016
2022-01-14,174.5700,175.9400,173.4000,175.6400,4474579,0.0084
2022-01-18,173.6200,174.7600,173.1500,173.9600,5766125,-0.0096
2022-01-19,173.9600,175.9600,173.5700,175.2100,6229784,0.0072
2022-01-20,175.4100,176.8800,173.8400,173.9400,6284161,-0.0072
2022-01-21,175.3266,177.2400,174.1100,174.2200,6753166,0.0016
2022-01-24,175.4900,176.5000,168.9600,173.3300,9272361,-0.0051
2022-01-25,172.0800,172.4800,169.7400,171.3400,6536944,-0.0115
2022-01-26,169.3600,171.8100,166.4500,169.5300,6841794,-0.0106
2022-01-27,170.7800,173.2800,168.7800,169.3700,6545927,-0.0009
2022-01-28,168.5100,172.7300,167.2100,172.6700,5796013,0.0195
2022-01-31,170.7700,174.1100,170.5900,173.5200,5908136,0.0049
2022-02-01,173.1500,173.4300,169.5600,172.3400,5952749,-0.0068
2022-02-02,172.7600,175.6400,172.5700,175.4700,5766988,0.0182
2022-02-03,175.2700,176.6600,173.8300,175.3700,4632699,-0.0006
2022-02-04,173.1000,174.8900,171.1900,172.4900,4592442,-0.0164
2022-02-07,172.7400,172.9900,171.2100,171.8100,4813468,-0.0039
2022-02-08,172.6300,172.6400,170.3100,172.0200,3957685,0.0012
2022-02-09,172.5000,172.7800,171.0100,171.9400,6780166,-0.0005
2022-02-10,168.6550,171.4500,167.3000,168.3700,7899839,-0.0208
2022-02-11,168.0600,170.3100,167.6901,168.5800,7299574,0.0012
2022-02-14,169.4150,169.6750,165.1000,166.7000,6822570,-0.0112
2022-02-15,167.2170,168.2500,165.2610,165.9600,4943851,-0.0044
2022-02-16,165.6300,167.1950,164.5400,166.3000,4161755,0.0020
2022-02-17,166.0100,167.9523,165.0000,166.7500,5156836,0.0027
2022-02-18,167.1100,168.2350,166.2200,167.7100,5181629,0.0058
2022-02-22,168.5700,168.9400,166.2300,168.3500,7726480,0.0038
2022-02-23,169.1200,169.1200,166.5200,166.6900,5813018,-0.0099
2022-02-24,165.7100,166.3400,160.2850,163.7900,8888796,-0.0174
2022-02-25,164.4200,168.4600,164.2600,168.3800,6535637,0.0280
2022-02-28,164.0400,165.2100,161.4050,163.7400,7676988,-0.0276
2022-03-01,163.0700,164.4000,161.3000,162.2700,5108127,-0.0090
2022-03-02,162.9800,165.8200,162.4900,164.5200,5452091,0.0139
2022-03-03,163.9700,165.1900,162.8000,163.2700,5352221,-0.0076
2022-03-04,162.0000,166.5000,160.9200,165.7500,6341095,0.0152
2022-03-07,164.0700,165.1500,162.1300,162.4500,6319483,-0.0199
2022-03-08,162.3800,163.9700,157.6900,157.8700,6163724,-0.0282
2022-03-09,159.8100,160.0600,156.4000,157.4000,5764927,-0.0030
2022-03-10,155.7900,156.2500,153.3700,154.5100,6103671,-0.0184
2022-03-11,155.4500,156.8850,153.4800,153.7300,4762675,-0.0050
2022-03-14,155.1500,157.8000,154.5000,155.8900,6075566,0.0141
2022-03-15,157.3200,159.5000,156.8300,159.0000,6203356,0.0199
2022-03-16,158.4100,159.9900,157.0400,159.7000,6299191,0.0044
2022-03-17,159.8300,161.6300,159.3000,160.9400,3587628,0.0078
2022-03-18,161.3800,162.9300,160.0600,162.7900,12040475,0.0115
2022-03-21,162.2700,163.8100,161.0750,162.5600,5106391,-0.0014
2022-03-22,162.8400,164.7700,162.2300,164.3400,5778394,0.0109
2022-03-23,164.2480,165.2750,162.6300,163.4800,4533800,-0.0052
2022-03-24,164.0600,164.7300,163.2700,164.4700,3160320,0.0061
2022-03-25,164.4300,165.9000,164.4300,165.2400,4084876,0.0047
2022-03-28,165.1000,165.7700,163.7100,165.7300,4308007,0.0030
2022-03-29,167.2900,168.5800,166.3700,168.1900,4440480,0.0148
2022-03-30,168.1000,168.2400,166.1150,167.9600,3871556,-0.0014
2022-03-31,168.3700,169.3000,167.2700,167.3800,6076177,-0.0035
2022-04-01,167.8900,169.9300,167.3700,169.7600,3239641,0.0142
2022-04-04,169.1100,169.3900,167.4500,169.3200,3759985,-0.0026
2022-04-05,168.3200,171.3800,168.3200,169.5000,3587439,0.0011
2022-04-06,169.9200,172.7000,169.4850,172.3900,4294868,0.0171
2022-04-07,172.0300,173.2800,170.7800,172.5500,5041686,0.0009
2022-04-08,172.9900,173.6900,171.5900,173.1300,3883183,0.0034
2022-04-11,173.6100,174.9700,172.3200,172.6000,3825328,-0.0031
2022-04-12,173.7800,174.6500,172.6300,173.3000,3924333,0.0041
2022-04-13,173.5800,173.8200,171.7300,173.0000,4394054,-0.0017
2022-04-14,173.4800,174.2600,171.7600,171.9000,4834298,-0.0064
2022-04-18,171.2200,172.3100,169.9600,170.4200,3086009,-0.0086
2022-04-19,169.8400,173.1650,169.8400,172.9000,3641992,0.0146
2022-04-20,173.7200,175.9700,173.7200,175.4700,4191266,0.0149
2022-04-21,175.7600,177.2400,174.6500,174.8400,3701297,-0.0036
2022-04-22,174.9900,175.2700,171.9400,172.1500,5864027,-0.0154
2022-04-25,173.2100,173.9200,171.0000,173.7400,7369911,0.0092
2022-04-26,173.9700,175.3486,172.7300,173.3000,7372662,-0.0025
2022-04-27,173.4200,176.6900,173.1900,174.8500,5180479,0.0089
2022-04-28,174.5300,177.6200,173.8200,177.5000,5235831,0.0152
2022-04-29,177.4100,177.4100,171.4100,171.7100,6505570,-0.0326
2022-05-02,172.9950,173.4600,165.2700,167.7600,7692131,-0.0230
2022-05-03,169.1400,169.3100,166.5800,167.9900,5564864,0.0014
2022-05-04,167.6100,174.1200,167.6100,173.8600,6224120,0.0349
2022-05-05,173.1000,173.3200,169.0800,170.3900,6534321,-0.0200
2022-05-06,169.2400,170.8000,168.7200,170.4100,5824752,0.0001
2022-05-09,169.6600,172.8850,168.7600,171.7000,7269081,0.0076
2022-05-10,173.1200,174.5400,170.7500,171.4900,5936727,-0.0012
