Time,Open,High,Low,Close,Volume,Percentage Change
2021-11-24,51.1800,51.3300,50.7050,50.8900,18556753,0.0000
2021-11-26,54.0350,54.9400,53.2500,54.0000,66561304,0.0611
2021-11-29,55.1500,55.7000,52.1100,52.4000,72660758,-0.0296
2021-11-30,52.3100,54.4600,51.9100,53.7300,64598388,0.0254
2021-12-01,52.4700,55.1700,51.8600,54.6800,59849358,0.0177
2021-12-02,53.8200,55.0800,52.7700,53.0400,46361744,-0.0300
2021-12-03,53.7100,54.4100,53.1020,54.2700,37574769,0.0232
2021-12-06,53.7800,53.8900,51.2500,51.4800,53723978,-0.0514
2021-12-07,51.2500,52.4999,50.4000,51.7200,41575442,0.0047
2021-12-08,52.7500,53.0800,51.0300,51.4000,37429199,-0.0062
2021-12-09,51.5100,52.8450,51.5100,52.0800,38325661,0.0132
2021-12-10,51.2000,52.8500,51.1100,52.7800,26079361,0.0134
2021-12-13,53.4400,55.7300,53.4400,55.2000,54923236,0.0459
2021-12-14,54.7700,55.9500,54.3160,55.5400,48685674,0.0062
2021-12-15,56.1100,58.9150,55.8900,58.8000,75202914,0.0587
2021-12-16,58.3600,61.4300,57.7500,61.2500,75183647,0.0417
2021-12-17,59.9300,61.1900,58.7000,59.4800,104320166,-0.0289
2021-12-20,60.6000,61.7100,59.8300,61.0200,55712217,0.0259
2021-12-21,60.0100,60.0400,57.1600,58.9500,63877877,-0.0339
2021-12-22,59.2500,60.5850,58.2200,59.5500,62594917,0.0102
2021-12-23,59.8200,60.0800,58.3100,58.7100,39203203,-0.0141
2021-12-27,58.8500,59.3800,58.2310,59.2000,27362581,0.0083
2021-12-28,59.0500,59.4500,57.0800,58.0100,36901704,-0.0201
2021-12-29,57.3100,58.0300,57.0700,57.5800,26170224,-0.0074
2021-12-30,57.7500,58.7400,57.5300,58.4000,24559004,0.0142
2021-12-31,58.5300,59.8000,58.4400,59.0500,28285858,0.0111
2022-01-03,58.5000,58.5500,56.3400,56.6500,57253148,-0.0406
2022-01-04,56.2200,56.4300,53.9400,54.5300,66993082,-0.0374
2022-01-05,55.8400,56.4400,55.3700,55.6300,52956422,0.0202
2022-01-06,55.1600,55.6300,54.4900,54.8400,37000392,-0.0142
2022-01-07,55.3600,55.7700,54.6300,55.7200,27703374,0.0160
2022-01-10,55.7100,56.2600,54.7400,56.2400,34044653,0.0093
2022-01-11,56.7500,57.4300,55.8100,56.6900,33373300,0.0080
2022-01-12,56.3400,57.1600,55.9000,56.6500,27608533,-0.0007
2022-01-13,56.5300,56.7500,55.2200,55.5400,28117937,-0.0196
2022-01-14,54.9800,55.3800,54.5100,54.9500,27072545,-0.0106
2022-01-18,54.5000,54.5500,53.4300,54.1100,31884262,-0.0153
2022-01-19,53.6500,54.4900,53.4500,53.5400,27197945,-0.0105
2022-01-20,53.9600,54.5150,53.0700,54.0500,35105321,0.0095
2022-01-21,54.4200,54.8650,52.4637,52.7900,41058973,-0.0233
2022-01-24,51.7500,52.0600,49.8150,51.5400,59080740,-0.0237
2022-01-25,51.3600,52.8350,51.2400,52.5400,43983174,0.0194
2022-01-26,52.5700,53.6200,52.4550,53.0100,39644846,0.0089
2022-01-27,53.0200,54.5800,53.0000,53.3700,36957197,0.0068
2022-01-28,53.7700,54.6700,53.1000,54.3300,28590397,0.0180
2022-01-31,54.0000,54.1400,52.3850,52.6900,38644575,-0.0302
2022-02-01,52.7400,53.1600,52.3900,53.0700,27883325,0.0072
2022-02-02,52.8400,54.1300,52.4500,53.8600,32039345,0.0149
2022-02-03,53.3250,53.8900,53.0900,53.3800,22635803,-0.0089
2022-02-04,53.0200,53.4300,52.6300,53.0000,24932162,-0.0071
2022-02-07,53.3000,53.5776,52.2400,53.2100,32358536,0.0040
2022-02-08,50.6400,51.8000,49.6900,51.7000,67921966,-0.0284
2022-02-09,51.6400,51.7150,50.9000,51.4700,38522207,-0.0044
2022-02-10,51.0400,51.3700,50.3900,50.6000,34200602,-0.0169
2022-02-11,50.3300,51.2400,50.0750,50.7800,34997790,0.0036
2022-02-14,49.8200,50.5000,48.4800,49.8000,42973119,-0.0193
2022-02-15,49.8000,50.0399,49.2100,49.7900,29161056,-0.0002
2022-02-16,49.5900,50.7750,49.4300,49.6800,27672592,-0.0022
2022-02-17,49.8100,49.9600,48.7500,48.9000,21231671,-0.0157
2022-02-18,48.7800,49.5150,48.2000,48.5300,26955313,-0.0076
2022-02-22,47.5400,48.3100,47.3450,47.5300,34314535,-0.0206
2022-02-23,47.5900,48.1600,46.7800,46.8700,25792980,-0.0139
2022-02-24,45.8600,46.7550,45.4000,45.9600,44227348,-0.0194
2022-02-25,45.8100,48.0300,45.7400,47.7200,31199192,0.0383
2022-02-28,46.8200,47.1700,46.3400,46.9400,35296050,-0.0163
2022-03-01,46.6900,47.1368,45.4400,45.7500,29854506,-0.0254
2022-03-02,46.1100,47.9300,46.0000,47.7000,36516150,0.0426
2022-03-03,47.6800,48.5850,47.4800,47.8300,30553340,0.0027
2022-03-04,47.5000,48.7700,47.4100,48.6500,33222898,0.0171
2022-03-07,48.2500,48.8400,47.5150,47.9800,33171300,-0.0138
2022-03-08,47.5800,48.4182,46.4650,47.4400,32913298,-0.0113
2022-03-09,48.1300,49.2200,48.0000,48.7500,24718917,0.0276
2022-03-10,48.3050,49.2900,48.0500,49.2000,24542343,0.0092
2022-03-11,49.1400,50.9000,48.9425,50.2700,33701925,0.0217
2022-03-14,50.7200,52.9100,50.3900,52.2500,42314540,0.0394
2022-03-15,52.6200,52.9200,51.1800,52.2100,30172127,-0.0008
2022-03-16,52.5400,53.2700,52.1800,52.9200,29891423,0.0136
2022-03-17,52.9200,54.2500,52.7900,54.2400,30598584,0.0249
2022-03-18,54.3800,55.0000,53.7050,54.5100,50432890,0.0050
2022-03-21,54.2400,55.3000,53.9000,54.1900,33613539,-0.0059
2022-03-22,54.2000,54.3200,52.4950,53.0400,31614140,-0.0212
2022-03-23,53.0200,53.5000,52.1550,52.1900,29183686,-0.0160
2022-03-24,52.5400,52.8450,52.2900,52.5900,25177484,0.0077
2022-03-25,52.7400,53.2500,52.5100,52.7800,16782082,0.0036
2022-03-28,52.5300,53.5600,52.5000,53.2800,21863713,0.0095
2022-03-29,54.0000,54.0800,52.6200,52.7400,39970032,-0.0101
2022-03-30,53.2000,53.7199,51.9701,52.4400,27599649,-0.0057
2022-03-31,52.0000,52.8750,51.7400,51.7700,26055234,-0.0128
2022-04-01,52.1200,52.1600,51.1000,51.5700,19073138,-0.0039
2022-04-04,51.7800,51.8700,50.3700,50.9400,20491535,-0.0122
2022-04-05,50.8100,52.1500,50.7500,51.2400,21033428,0.0059
2022-04-06,51.1600,53.0900,51.1600,52.8700,31717523,0.0318
2022-04-07,52.5000,55.4100,52.5000,55.1600,36305670,0.0433
2022-04-08,54.8500,55.5800,54.4600,55.1700,24612246,0.0002
2022-04-11,55.4600,56.3200,53.7750,53.9300,22054311,-0.0225
2022-04-12,53.3000,53.9300,52.6450,53.1100,22810733,-0.0152
2022-04-13,53.1300,53.8200,52.7000,53.1000,15777806,-0.0002
2022-04-14,53.4000,53.9094,53.0400,53.1200,17240120,0.0004
2022-04-18,52.8300,53.1100,51.6300,51.8400,17065045,-0.0241
2022-04-19,51.6600,51.8800,49.3700,50.1800,33441510,-0.0320
2022-04-20,50.0000,50.1600,49.2100,49.7500,24535513,-0.0086
2022-04-21,49.9300,50.0100,48.9200,49.1100,19105575,-0.0129
2022-04-22,48.9500,49.1000,47.9000,48.1300,22156801,-0.0200
2022-04-25,47.8500,49.1900,47.1200,48.9500,27390591,0.0170
2022-04-26,48.9900,50.2500,48.9200,49.0300,24810410,0.0016
2022-04-27,49.1100,49.9100,48.2100,49.7400,25819237,0.0145
2022-04-28,50.4400,50.7699,49.4850,50.5100,28227723,0.0155
2022-04-29,49.8700,50.3350,49.0000,49.0700,28343298,-0.0285
2022-05-02,47.6800,48.7600,47.4600,48.3400,36228410,-0.0149
2022-05-03,48.8700,50.0400,47.7000,49.2900,33716935,0.0197
2022-05-04,48.8900,49.8700,47.9100,49.6600,28415090,0.0075
2022-05-05,49.4600,49.5500,47.5500,48.4500,28333001,-0.0244
2022-05-06,48.0900,49.2150,48.0400,49.0400,19891434,0.0122
2022-05-09,48.3800,49.1700,47.7700,48.6400,25012347,-0.0082
