Time,Open,High,Low,Close,Volume,Percentage Change
2023-11-30,144.7600,146.9300,144.3320,146.0900,65814022,145.0900
2023-12-01,146.0000,147.2450,145.5500,147.0300,39951833,0.0064
2023-12-04,145.2500,145.3500,142.8100,144.8400,48294244,-0.0149
2023-12-05,143.5500,148.5700,143.1300,146.8800,46822411,0.0141
2023-12-06,147.5800,147.8500,144.2800,144.5200,39481034,-0.0161
2023-12-07,146.1500,147.9200,145.3400,146.8800,52352830,0.0163
2023-12-08,145.4800,147.8400,145.4000,147.4200,41905965,0.0037
2023-12-11,145.6600,146.1900,143.6400,145.8900,50907288,-0.0104
2023-12-12,145.5200,147.5000,145.3000,147.4800,44944264,0.0109
2023-12-13,148.1200,149.4600,146.8200,148.8400,52766196,0.0092
