Time,Open,High,Low,Close,Volume,Percentage Change
2023-11-30,480.2400,481.1000,464.2200,467.7000,52624663,466.7000
2023-12-01,465.2500,472.0000,461.8700,467.6500,36931701,-0.0001
2023-12-04,460.7700,460.7700,450.1000,455.1000,43754344,-0.0268
2023-12-05,454.6600,466.0000,452.7100,465.6600,37171762,0.0232
2023-12-06,472.1450,473.8700,454.1200,455.0300,36778599,-0.0228
2023-12-07,457.0000,466.2900,456.0400,465.9600,35082255,0.0240
2023-12-08,465.9500,477.4085,465.5000,475.0600,35922370,0.0195
2023-12-11,474.9100,475.3100,458.3000,466.2700,50972809,-0.0185
2023-12-12,460.4600,476.6600,460.4600,476.5700,37238686,0.0221
2023-12-13,476.2900,485.9400,476.0800,480.8800,44779186,0.0090
