Time,Open,High,Low,Close,Volume,Percentage Change
2023-11-30,94.0300,94.0300,92.7600,93.3600,4319411,92.3600
2023-12-01,93.3300,94.2000,93.0000,94.0500,3197794,0.0074
2023-12-04,93.8000,94.7900,92.4900,92.9300,5729745,-0.0119
2023-12-05,92.5200,93.4000,91.7700,92.5400,3606802,-0.0042
2023-12-06,90.7900,91.3700,90.1500,91.1000,5688153,-0.0156
2023-12-07,91.3700,91.4700,90.6900,91.1200,5511906,0.0002
2023-12-08,91.3300,91.4650,90.6700,91.3100,3877501,0.0021
2023-12-11,91.8800,93.3100,91.8800,92.9900,4270101,0.0184
2023-12-12,92.8100,93.0150,92.1600,92.8800,4038258,-0.0012
2023-12-13,92.8800,94.4200,91.7300,94.4000,11392976,0.0164
